id,name,username,date,reply_to,content,reply,retweet,like
ParkGyeongchunJun12021Kadang ,Park Gyeongchun,@indigoingbanana,"Jun 1, 2021",,"Kadang mikir ngene, sekarang santai ketemu orang syiah ahmadiyah salafi anggep aja temen, kl dah mulai ngobrol ngafirke tinggal pergi.",,,
SUSANSUMINTAJAYAJun12021Alhamdu,SUSAN SUMINTA JAYA,@SUMINTA75437379,"Jun 1, 2021",@msaid_didu,"Alhamdulillah kalau benar munarman dibuat lumpuh, teroris kadal gurun jika perlu dibuat mati perlahan aja ... ZZbiar merasakan bagaimana dulu ahmadiyah di serang dia bantai",,,4
KlKAYMay312021iyaaa g,K l K A Y,@myhappypiIIs,"May 31, 2021",@diamond__5ky,"iyaaa gitu sekte sekte an tan, sesat engganya nda tau de, nga ngerti jg gerakannya tuh semacem fpi aja ato mala kaya ahmadiyah. banyaak si tipe noise marketing ini, kabar dating bisa jd sala salu strateginya jg. penikmat idol cm mo tau produk jadinya aja tan, kalo mrk tau behind",1,,
HasyimMuhammadMay312021Saya me,Hasyim Muhammad,@hasyimmah,"May 31, 2021",,"Saya mengkritisi tafisr agama Islam yang memutlakkan tafsir Imam mazhab yang hidup 12 abad lalu. Makanya saya suka ada Ahmadiyah yang menyebut Mirza Ghulam Ahmad adalah mujaddid (pembaharu) di abad 19. Tapi Ahmadiyah malah dituduh sesat.
@ulil
 @adeirra
 @sahaL_AS
 @GunRomli",1,2,9
Jabrik86May312021Itu Kom,Jabrik86,@aewin86,"May 31, 2021",,"Itu Komnas Ham gak ada niat periksa kemungkinan pelanggaran HAM, perda-perda bermasalah, pembubaran kegiatan ibadah oleh satpol PP,  pengusiran ahmadiyah?

Atau saya yang ketinggalan berita? Kalau teman2 gimana?",1,1,14
billtemporoMay312021GAFATAR,bill temporo,@BillTemporo,"May 31, 2021",,GAFATAR=Gerakan Fajar Nusantara=AHMADIYAH=KAFIR,,,
AnaknyaOdingarisgaklucuMay312021Yang le,Anaknya Odin garis gak lucu,,"May 31, 2021",,Yang lebih parah kondisinya Ahmadiyah. Mereka disuruh bikin agama sendiri,4,3,16
DANTALIONDUSKYPRAYERLETTERMay312021Ya beda,DANTALION DUSKY PRAYER LETTER,,"May 31, 2021",@RoBelDaUnited,"Ya beda nasib dgn nabi ahmadiyah dibuatkan sanctuary & dakwahnya difasilitasi inggris, syiah akidahnya sesat tapi gak ada yg tertarik buat kasih suaka why? Haha ritual cambuk2 berdarah itu",,,
mantanMay312021Ahmadiy,mantan,@mtnmj,"May 31, 2021",@hariankompas,"Ahmadiyah dan syiah saja diburu dan dianiaya, apalagi aliran kepercayaan, inilah potret kehidupan berkeTuhanan di negeri pancasila ini, sekelompok besar umat memaksakan tafsirnya sendiri.",,1,1
HannanQureshiMay312021Can Sch,Hannan Qureshi,@Dakkani1,"May 31, 2021",,"Can Scholars be critized ?
Can People be warned against their deviance ? 

We hav Ahmadiyah scholars, Quraniyoon scholars,shia scholars, 
Palace scholars, dollar scholars, Grave worshipping schlars, Democratic scholars. 

Shud there deviance left alone to be spread among Muslims?",,,1
AgamaKepercayaanAdatNusantara(GBMYLKSKVXYWQ)May312021Belum l,Agama Kepercayaan Adat Nusantara (GBMYLKSKVXYWQ),,"May 31, 2021",@m_sael,"Belum lagi yang syiah & ahmadiyah yang dianggap bukan islam , belum lagi juga para penghayat kepercayaan pada mau ganti status islam di ktp setelah keputusan mk tahun 2017, belum lagi juga umat hindu, buddha, kristen , katolik , konghucu pada mau update ktp mereka",,,
AnaknyaOdingarisgaklucuMay312021Sunni :,Anaknya Odin garis gak lucu,,"May 31, 2021",,"Sunni : Syiah bukan Islam
Syiah : Sunni bukan Islam
Sunni&Syiah : Ahmadiyah bikin agama sendiri saja, jangan nempel Islam
Salafi : Syiah sesat, Sunni sesat, yang benar hanya salafi
Lanjutkan kebodohan kalian. Dan umat muslim akan punah dengan sendirinya.

~cerita berakhir",37,119,485
BenittonStolenberg(2)May312021Ketua K,Benitton Stolenberg (2),@BStolenbergs,"May 31, 2021",@JugramHascwalth,Ketua KPK cabang jemaat ahmadiyah namanya Firly Mirza Gulag,1,,
MASMay302021Enggak ,MAS,@MA_Suryawan,"May 30, 2021",@Dennysiregar7,"Enggak semua modelnya gitu, beda banget dengan Khilafah Ahmadiyah...",,,
AnaknyaOdingarisgaklucuMay302021Kata ka,Anaknya Odin garis gak lucu,,"May 30, 2021",@PapaeFiska,"Kata kadrun, ""saudara muslim itu bagai satu tubuh,"" prett. Buktinya masih persekusi Ahmadiyah. Padahal Tuhannya sama, nabinya juga sama, malah disuruh bikin agama sendiri, jangan nempel Islam.",1,,1
dragheadMay302021Bgt jg ,draghead,@pakradensiahaan,"May 30, 2021",@MarcellSiahaan,"Bgt jg dgn syiah, sunni dan Ahmadiyah",,,1
KienandLauwMay302021Dulu yg,Kienand Lauw,@KeeNand__,"May 30, 2021",,"Dulu yg ngasih ijin SY itu Menkumham Yusril Ihza Mahendra om, SY diijini tapi Ahmadiyah gak diijini hha",3,1,
mantrabooksMay302021BAHTERA,mantra books,@MantraBooks,"May 30, 2021",,"BAHTERA NUH | #mirzaghulamahmad  | 45 k | Penerbit: Jemaat Ahmadiyah Indonesia 1978 | 126 hlm
.
.
#mantrabooks #ahmadiah #ahmadiyah #bahteranuh #bukulangka #jualbukumurah #bukuislami #bukuislam",,,
IG:WarungSejarahRIMay302021Buku La,IG: WarungSejarahRI,@WarungSejarahRI,"May 30, 2021",,"Buku Lawas > Falsafah Islamijjah
( Filosofi Islam ) Keopasan Tentang Lima Boeah Pokok Masala Agama,  Pada Pandangan Moeslim

Oleh;  Mirza Ghoelam Ahmad 
( Pendiri Gerakan Ahmadiyah )

Tahun 1942. 
144  Halaman.
Harga 85.000. 
Minat?  

✓DM or Klik WA 
http://bit.ly/warungsejarahRI",,,1
SopirAngkotMay302021Breakin,SopirAngkot,@BecaMamat,"May 30, 2021",,"Breaking News: jumlah populasi dan persentase umat Islam di Indonesia sekarang melorot super tajam. Hal itu karena ternyata banyak umat yang selama ini dianggap Muslim ternyata bukan lantaran sudah sesat, murtad, menjadi tapir, dlsb.

Syiah bukan Islam, Ahmadiyah bukan Islam.",1,,
