id,name,username,date,reply_to,content,reply,retweet,like
BoejangTelajakSep102021Situasi,Boejang Telajak,@BoejangTelajak,"Sep 10, 2021",,"Situasi Kabupaten sintang kondusif, Hendardi : Forkopimda Kalbar mampu tangani Ahmadiyah di Sintang.",,,
OrangUluBorneoSep102021Kasus A,Orang Ulu Borneo,@ianapokayan,"Sep 10, 2021",,"Kasus Ahmadiyah,  Aliansi Umat Islam Sintang Sampaikan Sikap https://m.rri.co.id/sintang/daerah/1182568/kasus-ahmadiyah-aliansi-umat-islam-sintang-sampaikan-sikap… lewat 
@rri
.co.id",,,2
MimiNizamSep102021Rumah I,Mimi Nizam,@MimiNizam15,"Sep 10, 2021",,"Rumah Ibadah Ahmadiyah, Sumber Konflik yang Dipelihara? | Serba-serbi MMC

Beberapa waktu lalu terjadi aksi perusakan Masjid Miftahul Huda, tempat peribadatan umat Ahmadiyah di Kabupaten Sintang, Kalimantan Barat. Menanggapi hal ini sekjen PBNU mengecam keras oknum yang mendal",,,
MuhammadIrfanSep102021Rumah I,Muhammad Irfan,@irfan_bey24,"Sep 10, 2021",,"Rumah Ibadah Ahmadiyah, Sumber Konflik yang Dipelihara?
https://youtu.be/utkIfa_DTLc

#Ahmadiyah #KabupatenSintang 
#IstiqomahBeramalSholih #JumatBerkah Taat Kunci Selamat",1,,1
DimasMulyaSep102021Padahal,Dimas Mulya,@samidaylum,"Sep 10, 2021",@TirtoID,"Padahal dah jelas ini dari fatwa MUI kalau ahmadiyah sesat. 
Kok masih dibiarin berkembang ya?",,,
AphroditeCelestaminePruneSep102021yg memb,Aphrodite Celestamine Prune,@EPiesant,"Sep 10, 2021",@kompascom,"yg membuat satu negara selalu dlm ketegangan politik kl bergesekan dgn islamphobia, intoleransi, lgbt, maksiat, separatisme, kristenisasi,komunisme, syiah, ahmadiyah, cina, india, papua, terorisme, ekstrimisme,liberalisme, ekonomi, dll semua faktor ini dijaga jgn sampai justru",,,
AhmadiyahIndonesiaSep102021Beberap,Ahmadiyah Indonesia,@AhmadiyahID,"Sep 10, 2021",,"Beberapa kalangan tertentu kerap menyampaikan 2 buah pertanyaan kritisnya terhadap Ahmadiyah.
 
1. Apakah Ahmadiyah percaya pada ayat Khaatamannabiyyiin_ dalam al-Qur'an?
2. Apakah Ahmadiyah percaya bahwa Nabi Muhammad Saw adalah nabi yang terakhir?
Simak",,12,15
axlentdesignSep102021Gini om,axlentdesign,@axlentdesign,"Sep 10, 2021",@AzisHaliz,"Gini om dek bang pak, fokus ke hal paling simpeeeelllllll aja doloo yak : EMANG PENGANUT AHMADIYAH ITU NGEBACOK MUSLIM? MEMBAKAR RUMAH MUSLIM DAN MESJID? SAMPE HARUS DIBALAS SERUPA KE MEREKA? Gitu aja dulu utk lo coba balas. Nanti baru kita bahas seberapa krupuknya iman kalian",1,,
sigarantangSep102021Sudah t,sigarantang,@adepzaen,"Sep 10, 2021",@iw4n_kurni4w4n,Sudah tau kah kalo ahmadiyah itu terlarang di indonesia?,1,,
~heynunaSep102021kenapa ,~heynuna,@darkchocoalmond,"Sep 10, 2021",,kenapa sih? Malah bikin surat mengakui Ahmadiyah aliran sesat dan perlu dibini based on their own perspective toward religion. Jemaah Ahmadiyah di Sintang lagi pada ga baik-baik aja habis insiden pembakaran rumah dan tempat ibadah mereka. Tensinya lagi tinggi,1,,
RosegoldbeautyshopSep92021Just po,Rosegold beautyshop,@Rosegoldbeauty6,"Sep 9, 2021",,"Just posted a photo @ Ahmadiyah Gate(old Ashongman, Agbogba)",,,2
RadioElshintaSep92021Kemenag,Radio Elshinta,@RadioElshinta,"Sep 9, 2021",,"Kemenag kerahkan Penyuluh Agama Islam (PAI) utk sosialisasikan kembali Surat Keputusan Bersama (SKB) 3 Menteri No 3 Tahun 2008 tentang Peringatan & Perintah kepada Penganut, Anggota, atau Anggota Pengurus Jemaah Ahmadiyah Indonesia (JAI).
via 
@Kemenag_RI
 
https://kemenag.go.id/read/kemenag-kerahkan-penyuluh-sosialisasikan-aturan-ahmadiyah-jj18p…",,,3
sastroSep92021justru ,sastro,@sastro0001,"Sep 9, 2021",@the_hero77,justru imanku smkn kuat dg menydrkn ahmadiyah agr tdk tsst,1,,
sastroSep92021kalo td,sastro,@sastro0001,"Sep 9, 2021",@MAhmadiyah,kalo tdk trsst mgp MUI mgtkn bhw ahmadiyah trsst?,1,,
AndhikaBWSep92021Penyera,AndhikaBW,@BayuNgero,"Sep 9, 2021",@dr_koko28,Penyerangan ahmadiyah?,,,
ijamSep92021Kalo me,ijam,@cclockwerk,"Sep 9, 2021",,"Kalo mereka cuma bilang agama ahmadiyah, silahkan. Tapi jika mereka bilang Islam, sorry mesti diluruskan.",1,,
OomEwokSep92021Yg pent,Oom Ewok,@OomEwok,"Sep 9, 2021",@NovalAssegaf,"Yg penting jgn ngikut syiah, ahmadiyah & INus khi...",,,
ijamSep92021Wow ada,ijam,@cclockwerk,"Sep 9, 2021",,Wow ada yang komentar soal ham atas nama ahmadiyah?? Lucu sekali anda,,1,
NAWACITAPOST.COMSep92021Bakar T,NAWACITAPOST.COM,@NAWACITAPOST1,"Sep 9, 2021",,"Bakar Tempat Ibadah Ahmadiyah, Denny Siregar :  Provokator Radikalisme Berbaju Agama di Sintang Harus Ditangkap",,,
