index,id,name,username,date,reply_to,content,reply,retweet,like
0,DedenSujanaFeb12021Simak b,Deden Sujana,@dedensujana,"Feb 1, 2021",nan,"Simak bagaimana sikap Khilafah Ahmadiyah terhadap Pancasila dan Demokrasi dalam link di bawah ini :
@Iskandargumay1",0,1,2
1,MuridIslamAhmadiyahFeb12021nah say,MuridIslamAhmadiyah,@MAhmadiyah,"Feb 1, 2021",@akbarnugrohoa,"nah saya ulang ya. silahkan temukan pernyataan dari Ahmadiyah langsung, bahwa nabi terakhir/penutup adala Ghulam Ahmad. ",1,0,0
2,risrisismanFeb12021Sebenar,risris isman,@risrisus,"Feb 1, 2021",@susipudjiastuti,"Sebenarnya mengomentari 
@permadiaktivis1
 lebih politis dari pada bicara HAM, mana berani para politikus menaggapi apalagi bersuara lantang tentang kasus ahmadiyah, perusakan rumah ibadah. Wajar saja, krn politikus lebih mewakili kepentingannya dari pada idealismenya.",0,0,1
3,MuridIslamAhmadiyahJan312021adakah ,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 31, 2021",@akbarnugrohoa,adakah pernyataan dari Ahmadiyah bahwa nabi penutup adalah Bukan Muhammad melainkan Mirza Ghulam Ahmad? silahkan tunjukan disini,0,0,0
4,MuridIslamAhmadiyahJan312021itu vid,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 31, 2021",@akbarnugrohoa,"itu video udh video udh menjelaskan penafsiran ahmadiyah soal Al-Azhab : 40 , malah dibilang ga bisa jelasin ok kalau ada pertanyaan soal kenabian lagi bisa pm aja ya",1,0,0
5,FuadAhmadNasirJan312021Pengaji,Fuad Ahmad Nasir,@fuadahmad88,"Jan 31, 2021",nan,"Pengajian Mingguan Online

Tajuk: Tahrik Waqf-e-Nau

Dibawakan oleh: 
Department Tarbiyat Nasional
Jamaat Ahmadiyah Mulsim Malaysia",0,0,0
6,BUKANPENGENDALIAIRJan312021Widih r,BUKAN PENGENDALI AIR,@aang1928,"Jan 31, 2021",@faith_khalaf,"Widih rizik rasis k cina syiah dan ahmadiyah apa mau lo hantam pake palu jg?
Kadrun model lo yg rasis k cina syiah dan ahmadiyah apa mau hantam kepala lo sendiri drun? Etapi kepala kadrun mah kopong gak ada isinya. ",1,0,0
7,dontcryJan312021banyak ,dont cry,@_mediocry,"Jan 31, 2021",nan,"banyak juga yaa. ini kalo di islam semacam nu, muhammadiyah, ahbandiyah, ahmadiyah, ldii dsb gitu gak sih?",0,0,0
8,lentera°Jan312021saya me,lentera°,@halo___lentera,"Jan 31, 2021",@MAhmadiyah,"saya menolak paham ahmadiyah berdasarkan ilmu, bukan hawa nafsu",0,0,1
9,RobbySatyaAndhikaJan312021Kalau A,Robby Satya Andhika,@robbysa,"Jan 31, 2021",nan,Kalau Ahmadiyah dan Syiah bagaimana?,0,0,0
10,ImanMubarakAhmadJan312021Kunjung,Iman Mubarak Ahmad,@imanmubarak_a,"Jan 31, 2021",nan,"Kunjungan Intel Kodim 0703 ke Rumah Mubaligh Ahmadiyah Cilacap

https://ayahakbar.id/2021/01/31/kunjungan-intel-kodim-0703-ke-rumah-mubaligh-ahmadiyah-cilacap/…",0,0,0
11,MuridIslamAhmadiyahJan312021solat i,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 31, 2021",@halo___lentera,"solat istikharah adalah solat untuk meminta petunjuk kepada Allah mana yang terbaik. banyak yg masuk Islam Ahmadiyah karena solat istikharah, artinya Islam Ahmadiyah memang yang terbaik di mata Allah. anda menolak ahmadiyah karena petunjuk Allah? atau hawa nafsu? belum dijawab",1,0,0
12,lentera°Jan312021kalo ah,lentera°,@halo___lentera,"Jan 31, 2021",@halo___lentera,"kalo ahmadiyah benar harusnya saya org pertama yg masuk ahmadiyah, kenyataannya saya menolak paham ahmadiyah",1,0,0
13,lentera°Jan312021kalo an,lentera°,@halo___lentera,"Jan 31, 2021",@MAhmadiyah,"kalo anda cuma ngaku, orang gila di pinggir jalan juga bisa, masalahnya itu metodologinya, dari mana anda tau kalo ahmadiyah itu benar? udah lulus pengujian?",1,0,0
14,MuridIslamAhmadiyahJan312021solat i,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 31, 2021",@halo___lentera,"solat istikharah adalah solat untuk meminta petunjuk kepada Allah mana yang terbaik. banyak yg masuk Islam Ahmadiyah karena solat istikharah, artinya Islam Ahmadiyah memang yang terbaik di mata Allah. Lalu anda menolak ahmadiyah karena petunjuk Allah? atau hawa nafsu?",1,0,0
15,JUMPAJan312021Mirza g,JUMPA,@rahmasaktia,"Jan 31, 2021",nan,"Mirza ghulam ahmad,seorang tokoh robbaniawan islam dari Qadian ,India. Dia adalah pendiri sebuah gerakan keagamaan dalam islam,Ahmadiyah. Dia mengaku telah dipilih Allah Ta'ala sebagai Al-Mahdi dn juga Al-Masih atau atau Mesias yg dijanjikan.serta sebagai Mujadid islam abad k-14",0,0,1
16,PranawijayaKusumaJan312021Klw beg,Pranawijaya Kusuma,@PranawijayaK,"Jan 31, 2021",@kaltim_island,Klw begitu Ahmadiyah Islam donk?,1,0,0
17,lentera°Jan312021istikha,lentera°,@halo___lentera,"Jan 31, 2021",@MAhmadiyah,"istikharah istikharah, istikharah kok ngikut ahmadiyah ",1,0,0
18,@malekfirdausJan312021You nee,@malekfirdaus,@malek_firdaus1,"Jan 31, 2021",@ImranKhanPTI,You need to be dictator against ahmadiyah mafia gengster. How to tackle them. Like mahathir mohamed want to jail the radical movement. Btw Ahmadiyah has been forbidden in islam. You need to be Hitler try to attack against your duty. Hope Allah safe you aamiin.,0,0,0
19,IamABatmanJan312021Yang Cu,I am A Batman,@GibraltarNc,"Jan 31, 2021",@Ch1ch1ny4_0shin,Yang Cucunya  pendakwah Ahmadiyah itu ya teh ,1,0,7
20,MuridIslamAhmadiyahJan312021memang ,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 31, 2021",@halo___lentera,"memang sudah lurus menurut Allah, kan orang2 Ahmadiyah melakukan shalawat, istighfar dan solat istikharah sebelum berbaiat ke Mirza Ghulam Ahmad ",1,0,0
21,NAUFAL_MAHARDIKAJan3120215. Mend,NAUFAL_MAHARDIKA,@RAFIDA750,"Jan 31, 2021",@RAFIDA750,"5. Mendukung Ahmadiyah, syiah, Ghafatar dll dengan alasan sama2 anak bangsa, tapi sangat membenci HTI, FPI dan ormas2 yang cenderung mengambil jalan ""Kanan"".

Semoga Allah memberikan hidayah dan menunjukkan jalan lurus sesuai ajaran Islam yang sebenarnya...",0,0,0
